date,ret_1d,ret_5d,ret_intraday,ret_overnight,rsi_14,close_vs_ma20,vix_change,vix_ma_ratio,bn_ret_1d,nifty_bn_corr_20d,high_low_range,dow,target
2022-02-01,0.0136679386118703,0.02494300049235,0.0027040433520466,0.0109343283619075,39.09210698407304,-0.0107681468391285,-0.0897494830172985,1.074915902472758,0.0139603299426334,0.7362562301999062,0.0214970041715248,1,1
2022-02-02,0.0115578385853996,0.0290573131622111,0.0041680758438461,0.0073590894983824,40.35688117116827,0.0007363415485905,-0.0665665642731636,0.9965800731684372,0.021425510641337,0.745721304977483,0.0067378418517997,2,0
2022-02-03,-0.0123622486642295,0.0263030317005039,-0.0116813204401232,-0.0006889763779527,35.563488445035105,-0.0106185858642569,0.027345857335842,1.0185800324159529,-0.0081488920812092,0.7728807390164256,0.0153756797765543,3,0
2022-02-04,-0.0024998826581151,0.0242283237542138,-0.0042011143012655,0.0017084088640615,34.95800456109403,-0.0124531700026779,-0.0135699494234052,1.0023068686879262,-0.0056562019354011,0.7615846175962315,0.0088631727634058,4,0
2022-02-07,-0.0172811129276234,-0.007280916665606,-0.0139033564393945,-0.0034253807781278,29.793603288501075,-0.0278773343791337,0.081481531566671,1.075874430391245,-0.0204670176677435,0.7889162979674135,0.0242453419880697,0,1
2022-02-08,0.0030876976246183,-0.0176425022837768,-0.0007580858439817,0.0038487011144327,33.5119231536121,-0.0228434209546009,-0.0371820063123533,1.0304474248768825,0.0008685250649362,0.7691615159502453,0.0152199358955796,1,1
2022-02-09,0.0114121523303458,-0.0177839830568053,0.0053943946196156,0.0059854697250495,40.833608079265645,-0.0100337937761186,-0.0569106108671574,0.9697729368164324,0.0152990930001726,0.7875553482615013,0.0079106714715461,2,1
2022-02-10,0.008133901085124,0.0025996510663874,0.0029480293009367,0.0051706286195127,47.03562883862106,-0.0002629327025093,-0.0457974356642346,0.9240803042836606,0.010378052945785,0.7916720630428703,0.0120584256275796,3,0
2022-02-11,-0.0131262969128136,-0.0080810887537122,-0.0043693771130594,-0.0087953500007488,45.410302513463,-0.0109059473043111,0.0547713873996515,0.9696843994956555,-0.0126554013331393,0.825654387787864,0.0087339386178218,4,0
2022-02-14,-0.0306162228952934,-0.0215410394420382,-0.0136652350815035,-0.0171858363069972,44.33744597419761,-0.0373165947221022,0.2301926748828329,1.1733469235372322,-0.0417656820969825,0.8696958051371153,0.0172091098825838,0,1
